Country,Daily Tests,Daily Tests per 100000 people,Pop density per sq. km,Urban Population (%),Start Date of Quarantine/Lockdown,Start Date of Schools Closure,Start Date of Public Place Restrictions,Hospital Beds per 1000 people,M-to-F Gender Ratio at Birth,M-to-F Gender Ratio at Age Grp 0 to 14,M-to-F Gender Ratio at Age Grp 14 to 25,M-to-F Gender Ratio at Age Grp 25 to 54,M-to-F Gender Ratio at Age Grp 54 to 65,M-to-F Gender Ratio at Age Grp 65+,Overall M-to-F Gender Ratio,Death rate from lung diseases per 100k people,Death rate from lung diseases per 100k people for female,Death rate from lung diseases per 100k people for male,Median Age,GDP 2018,Crime Index,Population 2020 (in thousands),Smokers in Population (%),% of Females in Population,Total Infected,Total Deaths,Total Recovered
Italy,148657,24.58691869,206,69,03/08/2020,,,3.4,1.06,1.04,1,0.98,0.94,0.75,0.93,17,12.78,22.78,45.5,2.08386E+12,44.35,60461.826,23.7,51.37666963,226699,32169,129401
Jamaica,,,273,55,,,,1.7,1.05,1.04,1.01,0.98,0.93,0.81,0.98,15.74,6.33,26.44,26,15713908816,65.26,2961.167,16.8,50.33982963,520,9,145
Japan,16484,1.303325526,347,92,,03/02/2020,2/25/2020,13.4,1.06,1.06,1.11,0.98,1,0.77,0.94,12.17,5.8,20.85,47.3,4.97132E+12,15.91,126476.461,22.1,51.15925913,16367,768,11564
Kazakhstan,,,7,58,,,,6.7,0.94,0.98,1.04,0.95,0.78,0.53,0.92,114.28,79.27,174.88,30.6,1.7934E+11,64.23,18776.707,24,51.51148365,6751,35,3598
Kenya,,,94,28,,3/15/2020,,1.4,1.02,1.01,1,1.02,0.84,0.77,1,19.15,14.92,24.16,19.7,87908262520,62.38,53771.296,10.7,50.31602039,963,50,358
South Korea,286716,55.92365082,527,82,,2/23/2020,,11.5,1.05,1.06,1.12,1.06,0.98,0.71,1,10.48,6.6,16.23,41.8,1.61942E+12,29.24,51269.185,23.3,49.91688179,11110,263,10066
Kuwait,120000,280.9928696,240,92,,,,2,1.05,1.08,1.22,1.72,1.31,0.89,1.41,10.99,7.44,13.43,29.3,1.40645E+11,35.61,4270.571,22.5,39.54817062,16764,121,4681
Latvia,1147,6.081015885,30,69,,,,5.8,1.05,1.05,1.07,0.98,0.79,0.48,0.86,8.06,2.76,17.68,43.6,34409229178,36.6,1886.198,37,54.01016666,1012,21,694
Lebanon,,,667,78,,,,2.9,1.05,1.05,1.05,1.02,0.88,0.79,1,17.28,13.86,20.78,30.5,56639155556,43.38,6825.445,33.8,49.70580552,954,26,251
Lithuania,742,2.725647424,43,71,,,,7.3,1.06,1.05,1.07,0.97,0.79,0.51,0.86,11.5,4.13,25.02,43.7,53429066429,34.82,2722.289,28.8,53.79195865,1562,60,1025
Luxembourg,,,242,88,,,,4.8,1.06,1.06,1.05,1.05,1.03,0.79,1.01,20.52,17.2,24.91,39.3,70885325883,30.17,625.978,23.5,49.53925897,3958,109,3718
Malaysia,9799,3.027559879,99,78,3/18/2020,,,1.9,1.07,1.06,1.03,1.02,1.03,0.9,1.03,23.73,12.95,34.24,28.5,3.58582E+11,60.66,32365.999,21.5,48.57852058,6978,114,5646
Maldives,,,1802,35,,,,4.3,1.05,1.04,1.37,1.34,1,0.89,1.23,26.7,26.61,26.89,28.2,5327457150,53.83,540.544,28.3,37.26498146,1143,4,91
Malta,889,20.13393939,1380,93,,,,4.7,1.06,1.05,1.06,1.05,0.98,0.81,0.99,12.05,6.66,19.15,41.8,14553422929,37.73,441.543,25.5,49.87330822,569,6,460
Mauritius,,,626,41,,,,3.4,1.05,1.04,1.02,1,0.9,0.68,0.97,30.56,17.36,48.62,35.3,14220348673,47.34,1271.768,21.6,50.5771064,332,10,322
